"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8725","RPORMLTJJHPFFBA08CA",NA,"82.56",NA,"加強磚造",NA,"二層","一層 二層"
"8726","RPWQMLRJJHPFFBA58CA","6","99.47","住家用","鋼筋混凝土造","102年7月2日","十四層","二層"
"8727","RPWQMLRJJHPFFBA58CA","6","61.23","見其他登記事項","鋼筋混凝土造","102年7月2日","十四層",NA
"8728","RPPNMLRJJHPFFBA57CA",NA,"19.67","見其他登記事項","鋼筋混凝土造","108年6月25日","十九層",NA
"8729","RPUNMLSJJHPFFBA18CA",NA,"26.85",NA,"磚造",NA,"一層","一層"
"8730","RPRNMLSJJHPFFBA87CA","2","117.48","住家用","鋼筋混凝土造","106年7月26日","十五層","十四層"
"8731","RPRNMLSJJHPFFBA87CA","2","61.62","見其他登記事項","鋼筋混凝土造","106年7月26日","十五層",NA
"8732","RPRNMLSJJHPFFBA87CA","2","38.04","見其他登記事項","鋼筋混凝土造","106年7月26日","十五層",NA
"8733","RPRNMLSJJHPFFBA87CA","2","5.37","見其他登記事項","鋼筋混凝土造","106年7月26日","十五層",NA
"8734","RPSPMLNJJHPFFBA67CA","11","21.10","住家用","鋼筋混凝土造","97年9月10日","七層","一層"
"8735","RPSPMLNJJHPFFBA67CA","11","14.28","共有部分","鋼筋混凝土造","97年9月10日","七層",NA
"8736","RPSNMLSJJHPFFBA97CA",NA,"27.83",NA,"磚造",NA,"一層","一層"
"8737","RPUQMLNJJHPFFCA08CA","38","68.99","住家用","鋼筋混凝土造","70年12月30日","五層","三層"
"8738","RPWNMLRJKHPFFAA28CA","2","149.34","見其他登記事項","鋼筋混凝土造","106年7月4日","十九層","十層"
"8739","RPWNMLRJKHPFFAA28CA","2","73.14","見其他登記事項","鋼筋混凝土造","106年7月4日","十九層",NA
"8740","RPWNMLRJKHPFFAA28CA","2",".29","見其他登記事項","鋼筋混凝土造","106年7月4日","十九層","一層"
"8741","RPWNMLRJKHPFFAA28CA","2","31.54","見其他登記事項","鋼筋混凝土造","106年7月4日","十九層",NA
"8742","RPROMLQJJHPFFBA77CA","11","23.71","住家用","鋼筋混凝土造","97年11月14日","七層","二層"
"8743","RPROMLQJJHPFFBA77CA","11","12.05","共有部分","鋼筋混凝土造","97年11月14日","七層",NA
"8744","RPROMLQJJHPFFBA77CA","11","7.01","共有部分","鋼筋混凝土造","97年11月14日","七層",NA
"8745","RPROMLQJJHPFFBA77CA","11","16.39","共有部分","鋼筋混凝土造","97年11月14日","七層",NA
"8746","RPQOMLQJJHPFFBA67CA","36","45.92","住家用","鋼筋混凝土造","72年8月15日","十二層","七層"
